epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2670.35,1.60475,1.5415,1.37985,0.58069,0.44712,0.40901,0.17648,2.06543,1.8814,1.77058,0.0014588,0.0014588,0.0014588
43,2734.73,1.60676,1.56015,1.38622,0.50792,0.46635,0.43268,0.18273,2.10914,1.90274,1.77847,0.0014456,0.0014456,0.0014456
44,2796.96,1.59138,1.53758,1.36735,0.55423,0.45192,0.41258,0.16533,2.14715,2.01733,1.80685,0.0014324,0.0014324,0.0014324
45,2864.5,1.58068,1.5188,1.36112,0.49612,0.40865,0.35829,0.14755,2.19485,2.13128,1.86885,0.0014192,0.0014192,0.0014192
46,2928.52,1.58276,1.48963,1.37362,0.52923,0.38374,0.38027,0.15857,2.16009,2.13637,1.82884,0.001406,0.001406,0.001406
47,2992.36,1.57081,1.47355,1.37778,0.54481,0.375,0.36576,0.15989,2.09945,2.11584,1.80162,0.0013928,0.0013928,0.0013928
48,3055.31,1.54215,1.42944,1.34412,0.54439,0.40385,0.39054,0.17,2.09368,1.9763,1.80882,0.0013796,0.0013796,0.0013796
49,3118.72,1.50755,1.41936,1.32529,0.48319,0.43601,0.37047,0.15504,2.17349,2.06048,1.86566,0.0013664,0.0013664,0.0013664
50,3179.16,1.50416,1.42643,1.33363,0.61394,0.375,0.42418,0.18048,2.11096,1.99894,1.84124,0.0013532,0.0013532,0.0013532
51,3240.73,1.50275,1.38316,1.33277,0.49183,0.47115,0.43613,0.17472,2.18456,1.97375,1.88347,0.00134,0.00134,0.00134
52,3306.69,1.49177,1.35269,1.32199,0.51571,0.4375,0.40178,0.1749,2.19754,1.93255,1.88214,0.0013268,0.0013268,0.0013268
53,3371.17,1.48172,1.35077,1.31955,0.48936,0.44712,0.41679,0.18514,2.16443,1.90482,1.85991,0.0013136,0.0013136,0.0013136
54,3433.76,1.4802,1.36983,1.32917,0.52715,0.375,0.39612,0.17688,2.15444,2.02776,1.85489,0.0013004,0.0013004,0.0013004
55,3493.87,1.44569,1.30282,1.30557,0.5591,0.44231,0.42084,0.17813,2.19422,1.94291,1.93515,0.0012872,0.0012872,0.0012872
56,3554.11,1.46928,1.30232,1.30655,0.54377,0.46154,0.42318,0.1801,2.20379,1.95675,1.89961,0.001274,0.001274,0.001274
57,3616.72,1.44092,1.29662,1.29436,0.47387,0.4893,0.40384,0.17078,2.17998,2.05551,1.93174,0.0012608,0.0012608,0.0012608
58,3679.93,1.4345,1.27319,1.28728,0.47713,0.41346,0.38569,0.1566,2.25764,2.10415,1.97017,0.0012476,0.0012476,0.0012476
